,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0WtM2NBVQNNJLh6scP13H8,0.801,0.806,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318
4VMRsbfZzd3SfQtaJ1Wpwi,0.6,0.567,-7.269,0,0.033,0.00621,8.73e-06,0.495,0.0951,119.043,268235
1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947
0yLdNVWF3Srea0uzk55zFn,0.707,0.681,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455
5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,184013
6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013
6UN73IYd0hZxLi8wFPMQij,0.954,0.516,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,139560
5mHdCZtVyb4DcJw8799hZp,0.538,0.742,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373
1odExI7RdWc4BT515LTAwj,0.508,0.43,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954
2NbsBSshscKIPRG3kwBbfo,0.436,0.409,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,160166
7oDd86yk8itslrA9HRP2ki,0.531,0.525,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,232857
26b3oVLrRUaaybJulow9kz,0.573,0.422,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,184791
4LRPiXqCikLlN15c3yImP7,0.52,0.731,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303
0V3wPSX9ygBnCm8psDIegu,0.637,0.643,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690
2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520
609E1JCInJncactoMmkDon,0.768,0.644,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,194543
07bsRv0pcpbG4zJeLsUs1p,0.777,0.526,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,194849
5odlY52u43F5BjByhxg7wg,0.515,0.593,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260
5eTaQYBE1yrActixMAeLcZ,0.636,0.869,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,186496
1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,176440
7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113
5BmB3OaQyYXCqRyN8iR2Yi,0.938,0.606,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,123673
5wG3HvLhF6Y5KTGlK0IW3J,0.571,0.549,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,194787
2dSKFFNoNXKo3hPnlwUdPe,0.536,0.814,-5.407,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292
0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,172125
72vMwCjJuRRa1r0bhFBbE1,0.938,0.613,-7.959,0,0.22,0.0312,0.000162,0.0982,0.275,99.938,128667
5m0yZ33oOy0yYBtdTXuxQe,0.962,0.619,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.958,144652
4mWbFYZ9P14Ulf1LIFZGhH,0.786,0.719,-7.487,0,0.296,0.252,0.0,0.301,0.802,130.081,178950
52NGJPcLUzQq5w7uv4e5gf,0.843,0.669,-4.105,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,238253
0FA4wrjDJvJTTU8AepZTup,0.686,0.897,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139
78aELoNP2X3DC3rjHEVLPy,0.752,0.764,-4.402,0,0.331,0.693,0.0,0.103,0.744,102.008,118797
2ZL7WZcjuYKi1KUDtp4kCC,0.773,0.701,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589
410ZZP746AQeiywhKvXWCo,0.481,0.797,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,206050
1T4k0sw0HldDg004Kw4Oct,0.462,0.251,-12.072,0,0.159,0.414,0.0,0.201,0.137,89.705,167977
7oLKoGzQVwjZ91AzCn560T,0.956,0.515,-9.962,0,0.337,0.305,0.0,0.156,0.69,119.937,122070
0judK8TqYfvwUohBngUxrE,0.706,0.648,-6.348,1,0.324,0.505,0.0,0.215,0.802,77.533,161041
0vjeOZ3Ft5jvAi9SBFJm1j,0.526,0.606,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667
6w9GrSUaQQIaMBYtabge7p,0.861,0.496,-5.537,0,0.0357,0.382,2.57e-06,0.107,0.543,116.008,192693
5ht9obvnnWeW4eoRtPAoQD,0.779,0.684,-4.963,1,0.108,0.181,0.0,0.0691,0.526,124.034,174240
2eN0rxTtgxKkmVCNgizayr,0.825,0.718,-2.896,1,0.0518,0.0732,0.000157,0.142,0.919,139.983,185001
33hQJTNI0T2FHVtku3smJf,0.563,0.575,-5.072,1,0.0266,0.0452,0.0,0.101,0.162,145.103,212747
5kB6WithhB8Iv08EMNmAbt,0.645,0.8,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,172480
1jX9wlAgVkAl0fCZqkCI73,0.676,0.856,-4.35,1,0.0393,0.454,0.0,0.141,0.965,144.092,166036
7ETjhPaIU4UmHOiimJBZz9,0.639,0.713,-4.368,0,0.0337,0.0539,0.0,0.102,0.717,86.1,161200
6Qpfsw8OS5HW5XxgmXYLWS,0.588,0.931,-3.925,1,0.0318,0.00411,0.0,0.345,0.625,105.027,219333
0isqpzdmr2hsKb50uBSCdo,0.61,0.868,-4.098,0,0.0351,0.0401,0.0,0.121,0.765,137.943,210813
1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,265493
2GAqIzPU7v3kfvY4hZQ9jm,0.629,0.548,-7.694,1,0.0334,0.471,2.21e-05,0.104,0.582,165.931,212120
59uQI0PADDKeE6UZDTJEe8,0.517,0.675,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,163855
2lNTHWu2I5Tcz9ukWsV5Jj,0.557,0.597,-8.296,1,0.048,0.646,0.0,0.0974,0.414,78.526,175238
3nei8eHEdiwwSfyoOCHPZI,0.655,0.617,-4.716,1,0.026,0.0998,0.0,0.211,0.734,90.015,174173
5wtPc1OQ7g1H8FBkwWqbhh,0.623,0.874,-3.058,1,0.0329,0.00714,0.0,0.143,0.961,109.97,194267
7uuMtZ0IkdybIPJvvwfHaI,0.646,0.822,-6.305,1,0.039,0.314,0.0,0.103,0.288,109.974,190667
4686eQ81DEswHa90bcdlC9,0.582,0.568,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,207541
6DE1vkPkMn2I77360IBb8t,0.537,0.851,-4.591,1,0.0443,0.0329,0.00105,0.131,0.155,129.022,194427
5jUOG0aeAofL5u3UWyrtDO,0.504,0.771,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,197400
45MQs7EiPglAvyYg9fkjzA,0.62,0.524,-7.613,1,0.0294,0.334,0.0,0.161,0.599,108.87,165509
4qbibbQ1yK0rPl0JUJS0bz,0.618,0.75,-4.608,1,0.0287,0.00799,0.0,0.141,0.619,123.885,196890
7kkLBfxW41iVO0cdLU9e9S,0.518,0.845,-5.051,1,0.0647,0.249,0.0,0.0764,0.37,142.133,187227
5UDX3jJn9vXGxE5h0sNRCy,0.45,0.855,-3.475,1,0.0379,0.182,0.0,0.135,0.552,180.0,176781
3dnP0JxCgygwQH9Gm7q7nb,0.668,0.758,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671
6pD0ufEQq0xdHSsRbg9LBK,0.569,0.724,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563
2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,234353
6XSqqQIy7Lm7SnwxS4NrGx,0.859,0.658,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987
609E1JCInJncactoMmkDon,0.768,0.644,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,194543
6Rpbzk2LC8xWZI93RyodAq,0.901,0.589,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,196600
0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,199440
1DxEbt6OSbrkRthk6pjZue,0.838,0.79,-1.602,0,0.108,0.431,3.33e-06,0.184,0.962,92.927,161452
2oiixB9QMIzhWaHGVlQx4g,0.783,0.729,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148
51FvjPEGKq2zByeeEQ43V9,0.775,0.677,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,189357
0PB0O24JqAuNdOAFVJljMS,0.683,0.764,-5.995,1,0.0441,0.0427,0.0,0.0963,0.137,149.949,160325
3XjvMZqm2AQ8thMCD6w9w2,0.818,0.666,-5.319,1,0.0759,0.343,0.0,0.0922,0.529,93.95,199149
5MxFWjuqQIsbNWbMdMdbli,0.713,0.703,-5.769,1,0.194,0.298,0.0,0.321,0.576,123.06,255693
3eqCJfgJJs8iKx49KO12s3,0.651,0.557,-5.466,0,0.204,0.0358,0.0,0.154,0.711,87.063,206947
4JdSXF2p71cr8uCY3UiJM0,0.605,0.726,-4.515,1,0.0309,0.365,0.0,0.112,0.393,149.918,160518
2xVcCDRgG3TrH69TatsUxp,0.913,0.584,-5.263,1,0.223,0.521,5.36e-05,0.307,0.627,119.873,174370
6otePxalBK8AVa20xhZYVQ,0.523,0.477,-6.786,1,0.392,0.855,0.0,0.146,0.57,79.921,164387
7cQ0LAxT5HHCLGbxcjaxac,0.716,0.78,-3.495,0,0.297,0.55,0.0,0.146,0.786,123.856,228387
3Zyk5Vd9WNPNVWxvb0EZTk,0.793,0.78,-4.247,0,0.249,0.341,0.0,0.111,0.576,178.046,203360
5OSGdSxtulzlzdPdK2MQJC,0.755,0.676,-7.349,1,0.0377,0.0418,0.00176,0.204,0.461,123.98,209136
3l3iCfpZsxbxWJhYoiQNkD,0.55,0.481,-4.917,0,0.0395,0.0215,0.0,0.0972,0.15,108.163,198333
52Rfxu5AUNMV1qhhC2ZCkb,0.493,0.855,-4.029,1,0.0967,0.00673,0.0,0.38,0.754,179.039,153038
72vMwCjJuRRa1r0bhFBbE1,0.938,0.613,-7.959,0,0.22,0.0312,0.000162,0.0982,0.275,99.938,128667
676xTEyKfYBOGYD0EuVrTq,0.607,0.702,-5.363,0,0.0939,0.383,3.52e-06,0.11,0.583,151.996,243540
7IaZ2WDYVYi0OImUNQm6Vl,0.252,0.538,-5.806,0,0.0349,0.268,0.00872,0.326,0.102,175.298,242240
62tGzw9OJOwDcjPBnMPCuj,0.602,0.835,-4.573,0,0.0413,0.0921,6.43e-05,0.138,0.496,97.992,327218
2dSKFFNoNXKo3hPnlwUdPe,0.536,0.814,-5.407,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292
3HCPcK7bCPAczLUfRmZEUn,0.638,0.411,-8.046,0,0.0283,0.475,0.000167,0.101,0.512,93.969,203427
6INztpNwOTlfSKTuPo0HOP,0.368,0.463,-10.595,1,0.0302,0.811,0.0017,0.109,0.447,156.008,267773
2lqHosXoRrzxh42th6Mi7a,0.722,0.588,-6.027,1,0.038,0.0527,0.0,0.455,0.636,87.876,160752
29Zod043iIX27WBv0duEDn,0.65,0.793,-5.608,0,0.0319,0.00706,0.000762,0.108,0.298,114.076,201002
556awMv4WQP0h1VXMU8rSU,0.573,0.848,-3.413,1,0.0474,0.0122,2.29e-05,0.4,0.418,89.978,152332
5HrIcZOo1DysX53qDRlRnt,0.763,0.699,-6.118,0,0.0554,0.00789,0.0,0.409,0.255,110.01,205101
1iBWjQ9af9NnUd5xnQDB3k,0.768,0.663,-6.901,0,0.0355,0.581,0.0,0.0974,0.559,96.039,204750
0uxLU5nNE35ZxNwoKm8XLq,0.533,0.722,-7.931,0,0.0385,0.0727,0.000763,0.664,0.801,175.95,236291
5ya0TmUQw2wHMkq36rPsnd,0.461,0.887,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,189987
6gnjE8oBkosBIEZroEjq4I,0.653,0.431,-7.375,0,0.0363,0.317,0.0,0.234,0.429,94.898,168900
0Hz3Bf0SjlKlqYvIwH9a70,0.402,0.675,-7.575,1,0.0283,0.49,0.949,0.096,0.0916,133.87,306107
1RaF9xwakfao1RRknWyYB5,0.792,0.518,-10.519,1,0.0847,0.326,0.000182,0.406,0.512,128.025,265454
14feWRgz9wh0Z1OIFXcJGh,0.792,0.812,-5.057,1,0.241,0.407,0.0,0.335,0.673,150.015,142408
2YFtpiy2WoAQVQbM1SIwES,0.435,0.00661,-32.108,0,0.0433,0.993,0.939,0.102,0.203,95.626,100441
3VM35337X7Ro1tesUHnZ95,0.484,0.059,-25.084,0,0.0517,0.996,0.948,0.106,0.308,89.329,118250
4xO3mTbZDnaDSJtRdgzXQc,0.364,0.0168,-30.767,0,0.0423,0.992,0.912,0.103,0.309,138.477,99853
2bjQvSk5T3A2dmnqqeRhzI,0.307,0.0381,-28.197,1,0.0423,0.993,0.945,0.104,0.0631,72.453,123500
5hFkGfx038V0LhqI0Uff2J,0.384,0.0189,-31.119,1,0.0395,0.992,0.947,0.0967,0.0834,62.479,130166
0jSUVrvKQ0qF8ee1usL34M,0.366,0.108,-20.698,1,0.0387,0.994,0.937,0.0949,0.435,174.925,117016
4516jKqIrGNIShWH3WBqmd,0.323,0.00851,-35.211,1,0.0434,0.994,0.927,0.0879,0.341,135.492,112885
5M6q2VBF4KLF961xGLPFw9,0.429,0.0542,-28.538,1,0.0404,0.994,0.928,0.105,0.142,72.862,103980
3ZvBA6TQA4CTOZNOyxou90,0.31,0.0352,-28.139,0,0.0336,0.98,0.908,0.0978,0.148,157.343,133488
7hVcd9PDdO0xK8vE3WQqnV,0.297,0.0126,-27.76,1,0.0442,0.994,0.913,0.0785,0.386,171.767,163000
49VzYsJHrITQOn28WBMztb,0.496,0.0317,-25.204,0,0.0479,0.995,0.954,0.105,0.256,73.191,125056
4uHzzAb1p6gK5unlp64Vrg,0.442,0.0719,-28.528,0,0.0346,0.994,0.874,0.114,0.326,83.794,155175
4uoJsS8jQmsHmdoORGzxh0,0.412,0.0289,-32.394,1,0.0517,0.996,0.958,0.0895,0.27,151.381,99568
6axlKJ7OnW6zxM16Hxwbb0,0.642,0.0202,-30.725,1,0.0424,0.994,0.928,0.115,0.174,101.97,151765
6rvmhiAd5jtT5CzLIcnj4p,0.405,0.0187,-29.086,1,0.0372,0.986,0.924,0.107,0.229,75.78,120269
597H3V2av5dnxNcIDa4Yrk,0.344,0.0893,-26.873,1,0.0354,0.99,0.927,0.0958,0.178,94.414,139412
4p1twb8bM9ZmWE2msuH8E8,0.407,0.00358,-27.226,1,0.0477,0.995,0.952,0.1,0.289,65.243,114233
0Q2cbRo8CSarvKg6rGc4iK,0.428,0.0258,-29.49,1,0.0398,0.991,0.959,0.107,0.179,89.923,156000
02VydYQOYaLGZX2MWoCCQ8,0.408,0.0632,-24.044,0,0.0371,0.977,0.927,0.175,0.256,126.995,202732
42cskWMuFydbI9f9um1sTj,0.265,0.0119,-33.766,1,0.0526,0.991,0.946,0.097,0.35,99.932,127000
676xTEyKfYBOGYD0EuVrTq,0.607,0.702,-5.363,0,0.0939,0.383,3.52e-06,0.11,0.583,151.996,243540
2zuDMKJ2rSgCMtJknUJBZ9,0.483,0.492,-6.734,0,0.157,0.221,0.0,0.0907,0.328,168.79,206429
2IlT65thKQQw248mhk2PjQ,0.726,0.353,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,169014
4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800
58cMDjQSUdWJUgFmHxRhjt,0.584,0.453,-6.682,1,0.0661,0.753,0.0,0.111,0.328,124.913,241624
0wOtc2nY3NOohp4xSwOyTN,0.731,0.423,-10.147,1,0.0784,0.473,0.000413,0.129,0.78,76.964,90111
0JXXNGljqupsJaZsgSbMZV,0.684,0.607,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373
0JmnkIqdlnUzPaf8sqBRs3,0.642,0.706,-6.872,0,0.052,0.518,0.0,0.25,0.896,136.851,187723
6lSwB0f2MN7uhJT7q4dRvS,0.662,0.56,-8.637,1,0.327,0.0275,2.84e-06,0.25,0.684,143.838,150799
2sITbbWIOeg2Lwp4WN2jqr,0.698,0.846,-3.735,0,0.0981,0.406,0.0,0.204,0.726,103.968,205385
6Vt2v8xwxcGqAOcTKlBeWo,0.65,0.662,-7.555,0,0.0618,0.0287,0.0,0.34,0.628,77.011,163701
3htVhQPsTXWAkAXYRkfRSz,0.701,0.575,-6.941,0,0.0751,0.119,0.00133,0.135,0.634,105.093,213933
1eIXYZWEfJO3Na2LCCnIJE,0.707,0.261,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,183893
7JOtjhuqqUIvPNAhaeE5Qu,0.551,0.748,-5.868,0,0.0562,0.0534,1.31e-05,0.363,0.379,77.809,147097
2rZQC2Hwy4sClylYHg2MXI,0.521,0.565,-9.596,0,0.0681,0.136,1.65e-06,0.134,0.261,114.562,202756
7eQpbVg3tjHmtdOlAHxaTr,0.66,0.688,-6.34,1,0.0564,0.434,0.0,0.489,0.65,118.05,249407
0ixyLzNaPr7G2Fu5ETgssB,0.575,0.738,-3.65,1,0.0712,0.208,0.0,0.153,0.391,82.609,166623
3unpulZnIiKRZ4MCymHfXx,0.803,0.387,-5.839,0,0.0723,0.207,1.98e-06,0.217,0.5,136.038,186157
4Jj48NypRej8Rld9U69Nvm,0.796,0.556,-3.917,1,0.0363,0.0852,1.13e-05,0.0598,0.59,96.987,241233
526fD9LiAEi3KKvhhYfWmm,0.878,0.577,-5.925,1,0.0541,0.0656,0.0,0.0867,0.498,99.031,159242
2eDdFHgqNJltzlvlZFVDWd,0.402,0.691,-10.274,1,0.0691,0.0679,0.133,0.0955,0.206,96.95,290934
3dPQuX8Gs42Y7b454ybpMR,0.743,0.446,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,232107
5e9TFTbltYBg2xThimr0rU,0.545,0.67,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213
40riOy7x9W7GXjyGp4pjAv,0.579,0.508,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376
57JVGBtBLCfHw2muk5416J,0.933,0.528,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653
1gzIbdFnGJ226LTl0Cn2SX,0.673,0.814,-5.411,1,0.0367,0.0133,0.00293,0.343,0.728,147.193,252200
3VqHuw0wFlIHcIPWkhIbdQ,0.566,0.834,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560
1UBQ5GK8JaQjm5VbkBZY66,0.601,0.859,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,258027
2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173
5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547
0G21yYKMZoHa30cYVi1iA8,0.453,0.987,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,273480
4qgZs0RNjdzKAS22lP0QjY,0.49,0.724,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812,337506
0vFOzaXqZHahrZp6enQwQb,0.468,0.536,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,382834
70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640
0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893
4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773
4KfSdst7rW39C0sfhArdrz,0.548,0.691,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,261933
2EC9IJj7g0mN1Q5VrZkiYY,0.635,0.686,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,274747
6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.868,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400
37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293
74nEGIzIefJhJ5qX7NeIAz,0.817,0.67,-6.315,0,0.0545,0.156,0.168,0.111,0.712,125.972,183397
2UDycsru4dEa1UFmyIvKYU,0.548,0.857,-6.83,1,0.0369,0.0187,0.749,0.0731,0.0532,127.967,174375
4V1SO4C2wG9bTq6Cp7yYyA,0.58,0.857,-4.503,1,0.0523,0.0186,0.000104,0.0823,0.223,125.978,190476
19bua05ITWjFrk9iGxOA7r,0.681,0.933,-2.855,1,0.104,0.0221,0.00504,0.266,0.46,128.036,170578
4qDpLaFGf5ampf2DXD2TMA,0.56,0.832,-6.432,0,0.0363,0.00953,0.00541,0.546,0.0818,126.0,236000
5SfcsMI2nJhdZpmwCcNEGf,0.716,0.881,-7.027,0,0.0536,0.000561,0.67,0.216,0.293,123.984,220887
6N5thJ3UQMpHdf2fYOB3XL,0.623,0.888,-5.122,0,0.0833,0.0321,0.0143,0.526,0.187,107.022,206211
